code,raw_code,date,action_day,time,time_raw,status,price,open,high,low,pre_close,high_limited,low_limited,volume,turnover,num_trades,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,BidPrice6,BidVolume6,AskPrice6,AskVolume6,BidPrice7,BidVolume7,AskPrice7,AskVolume7,BidPrice8,BidVolume8,AskPrice8,AskVolume8,BidPrice9,BidVolume9,AskPrice9,AskVolume9,BidPrice10,BidVolume10,AskPrice10,AskVolume10,total_bid_vol,total_ask_vol,recv_time
000931.SZ,000931,20260420,20260420,10:12:54.000,101254000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11349063,5685.4469,10834,4.98,207637,4.99,178700,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2585337,2265400,15:38:04.658
000931.SZ,000931,20260420,20260420,10:12:57.000,101257000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11349063,5685.4469,10834,4.98,207637,4.99,178400,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2585337,2265300,15:38:04.926
000931.SZ,000931,20260420,20260420,10:13:00.000,101300000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11349063,5685.4469,10834,4.98,209937,4.99,178900,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2587637,2265800,15:38:05.160
000931.SZ,000931,20260420,20260420,10:13:03.000,101303000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11349063,5685.4469,10834,4.98,209937,4.99,179700,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2587637,2266600,15:38:05.563
000931.SZ,000931,20260420,20260420,10:13:06.000,101306000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11349063,5685.4469,10834,4.98,209937,4.99,180700,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2587637,2267600,15:38:05.828
000931.SZ,000931,20260420,20260420,10:13:09.000,101309000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11349063,5685.4469,10834,4.98,210437,4.99,180900,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2588137,2267800,15:38:06.095
000931.SZ,000931,20260420,20260420,10:13:15.000,101315000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11588763,5804.8175,10996,4.98,18437,4.99,193000,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2396137,2279900,15:38:06.558
000931.SZ,000931,20260420,20260420,10:13:18.000,101318000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11596263,5808.5525,11005,4.98,10837,4.99,196200,4.97,227800,5.0,122500,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2388537,2283400,15:38:06.883
000931.SZ,000931,20260420,20260420,10:13:21.000,101321000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11700663,5860.5437,11048,4.98,53800,4.99,182600,4.97,227800,5.0,122700,4.96,439600,5.01,33200,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2431500,2269700,15:38:07.151
000931.SZ,000931,20260420,20260420,10:13:24.000,101324000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11700663,5860.5437,11048,4.98,54400,4.99,188100,4.97,227800,5.0,119500,4.96,439600,5.01,32500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110800,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2432100,2271300,15:38:07.370
