code,time,time_raw,index,price,volume,turnover,bsflag,ask_order,bid_order,biz_index,recv_time
000931.SZ,10:08:10.970,100810970,19949138,4.99,100,0.0499,B,19351185,19949136,0,18:09:26.247
000931.SZ,10:08:17.800,100817800,19978003,4.99,100,0.0499,B,19351185,19978002,0,18:09:26.856
000931.SZ,10:08:17.800,100817800,19978004,4.99,1000,0.499,B,19427979,19978002,0,18:09:26.856
000931.SZ,10:08:17.800,100817800,19978005,4.99,1000,0.499,B,19440624,19978002,0,18:09:26.856
000931.SZ,10:08:17.800,100817800,19978006,4.99,400,0.1996,B,19442517,19978002,0,18:09:26.856
000931.SZ,10:08:18.810,100818810,19982469,0.0,1000,0.0,?,0,19962477,0,18:09:27.013
000931.SZ,10:08:21.700,100821700,19995641,4.99,100,0.0499,B,19442517,19995640,0,18:09:27.230
000931.SZ,10:08:22.110,100822110,19997538,4.99,100,0.0499,B,19442517,19997537,0,18:09:27.305
000931.SZ,10:08:22.870,100822870,20001496,0.0,3200,0.0,?,19739064,0,0,18:09:27.358
000931.SZ,10:08:24.040,100824040,20006927,0.0,10000,0.0,?,0,16979172,0,18:09:27.358
000931.SZ,10:08:24.260,100824260,20008185,4.99,200,0.0998,B,19442517,20008184,0,18:09:27.473
000931.SZ,10:08:25.230,100825230,20013280,4.98,600,0.2988,S,20013279,19758297,0,18:09:27.522
000931.SZ,10:08:25.230,100825230,20013281,4.98,1400,0.6972,S,20013279,19758948,0,18:09:27.522
000931.SZ,10:08:29.670,100829670,20032972,4.99,100,0.0499,B,19442517,20032971,0,18:09:27.848
000931.SZ,10:08:29.670,100829670,20032973,4.99,1000,0.499,B,19452925,20032971,0,18:09:27.848
000931.SZ,10:08:29.670,100829670,20032974,4.99,1000,0.499,B,19519351,20032971,0,18:09:27.848
000931.SZ,10:08:29.670,100829670,20032975,4.99,700,0.3493,B,19519572,20032971,0,18:09:27.848
000931.SZ,10:08:31.050,100831050,20038364,0.0,2000,0.0,?,0,18671559,0,18:09:27.944
000931.SZ,10:08:31.050,100831050,20038379,4.99,300,0.1497,B,19519572,20038378,0,18:09:27.944
000931.SZ,10:08:31.050,100831050,20038380,4.99,300,0.1497,B,19525781,20038378,0,18:09:27.944
000931.SZ,10:08:31.050,100831050,20038382,4.99,700,0.3493,B,19525781,20038381,0,18:09:27.944
000931.SZ,10:08:31.050,100831050,20038383,4.99,200,0.0998,B,19525856,20038381,0,18:09:27.944
000931.SZ,10:08:31.050,100831050,20038384,4.99,700,0.3493,B,19532903,20038381,0,18:09:27.944
000931.SZ,10:08:31.260,100831260,20039314,0.0,1300,0.0,?,0,18302799,0,18:09:27.944
